bus0,bus1,OHL Length (km),Cable Length (km),Circuit Type,R (% on 100 MVA),X (% on 100 MVA),B (% on 100 MVA),Winter Rating (MVA),Spring Rating (MVA),Summer Rating (MVA),Autumn Rating (MVA)
ABBA1-,DYCE1J,0.0,7.8,Cable,0.1092,1.2324,10.14,173,158,158,158
ABNE1Q,ABNE1R,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
ABNE1Q,CHAR1-,24.5,0.0,OHL,2.49,5.66,1.22,132,123,106,123
ABNE1R,AMUL1G,28.099,0.001,Composite,2.8706,6.5818,1.397,132,123,106,123
ACHR1R,INVE1J,21.17,0.0,OHL,0.3387,3.9588,1.291,739,710,662,710
ACHR1R,PORA1S,14.23,0.0,OHL,0.2277,2.661,0.868,739,710,662,710
AIGA1Q,KIOR1Q,2.797,0.123,Composite,0.264,0.594,0.66,126,117,101,117
ALNE1Q,FYRI1J,0.0,2.1,Cable,0.06,0.202,2.547,156,142,142,142
ALNE1R,FYRI1K,0.0,2.1,Cable,0.06,0.202,2.547,156,142,142,142
AMUL1E,AMUL1F,0.0,8.62,Cable,0.2518,0.8041,10.215,153,129,129,129
AMUL1E,BUMU1R,17.8,0.0,OHL,1.8184,4.1692,0.885,132,123,106,123
AMUL1F,GRIF1S,6.85,0.0,OHL,0.7002,1.6054,0.341,132,123,106,123
AMUL1G,AMUL1H,0.0,8.62,Cable,0.2518,0.8041,10.215,153,129,129,129
AMUL1H,GRIF1T,6.85,0.0,OHL,0.7002,1.6054,0.341,132,123,106,123
ANSU1-,INVE1K,11.13,0.0,OHL,0.1781,2.0813,0.679,739,710,662,710
ANSU1-,PORA1Q,24.27,0.0,OHL,0.3883,4.5385,1.481,739,710,662,710
ARBR1Q,DENS1Q,14.5,0.0,OHL,1.3195,3.364,0.725,132,123,106,123
ARBR1R,DENS1R,14.5,0.0,OHL,1.3195,3.364,0.725,132,123,106,123
ARDK1-,INVE1J,9.0,0.0,OHL,0.92,2.1,0.44,132,123,106,123
ARDK1-,SLOY1T,10.0,0.0,OHL,1.02,2.33,0.49,132,123,106,123
ARMO1J,DUGR1Q,14.0,0.0,OHL,2.38,3.94,0.93,99,92,79,92
BEAT4-,BLHI4-,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
BEAU1J,BEAU1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
BEAU1J,BEAU1R,0.0,2.4,Cable,0.0315,0.197,3.941,265,263,263,263
BEAU1J,BEAU1T,0.0,0.22,Cable,0.01,0.0147,0.268,141,136,136,136
BEAU1J,CULL1Q,14.0,0.0,OHL,1.43,3.28,0.69,126,117,101,117
BEAU1J,DUCC1J,0.0,3.1,Cable,0.0219,0.1198,10.47,444,403,403,403
BEAU1K,BEAU1N,0.0,0.25,Cable,0.01,0.0167,0.305,141,136,136,136
BEAU1K,BEAU1S,0.0,2.4,Cable,0.0315,0.197,3.941,265,263,263,263
BEAU1K,DUCC1K,0.0,3.1,Cable,0.0219,0.1198,10.47,444,403,403,403
BEAU1K,KIOR1Q,1.24,0.06,Composite,0.13,0.29,0.06,126,117,101,117
BEAU1L,BEAU1P,0.0,1.74,Cable,0.0634,0.1599,2.062,152,140,140,140
BEAU1L,MOTA1R,29.67,0.0,OHL,3.0145,6.9027,1.469,132,123,106,123
BEAU1M,BEAU1Q,0.0,1.74,Cable,0.0634,0.1599,2.062,152,140,140,140
BEAU1M,MOTA1Q,29.67,0.0,OHL,3.0145,6.9027,1.469,132,123,106,123
BEAU1N,KNOC1J,17.1,0.0,OHL,1.5561,3.9843,0.855,132,123,106,123
BEAU1R,INNE1Q,13.4,0.0,OHL,0.6834,3.0016,0.697,241,230,210,230
BEAU1S,INNE1R,13.4,0.0,OHL,0.6834,3.0016,0.697,241,230,210,230
BEAU1T,KNOC1J,17.1,0.0,OHL,1.5561,3.9843,0.855,132,123,106,123
BEAU2J,BEAU2K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
BEAU2J,FASN2-,24.288,1.012,Composite,0.069,1.025,7.23,1910,1830,1710,1830
BEAU2J,FYRI2J,30.5,0.0,OHL,0.183,1.6772,6.465,702,665,599,665
BEAU2J,KNOC2L,16.8,0.0,OHL,0.099,0.687,4.672,935,880,790,880
BEAU2K,FYRI2K,30.5,0.0,OHL,0.183,1.6772,6.465,702,665,599,665
BEAU2K,KNOC2M,16.8,0.0,OHL,0.099,0.687,4.672,935,880,790,880
BEAU4-,FAUG4J,48.6,0.0,OHL,0.063,0.931,29.386,2780,2670,2490,2670
BEIN11,CEAN1Q,0.87,0.0,OHL,0.099,0.205,0.042,254,247,237,247
BEIN11,MILW1S,2.8,0.0,OHL,0.319,0.66,0.135,254,247,237,247
BERB2Q,BLHI2J,46.26,0.0,OHL,0.2619,1.9044,12.613,935,880,790,880
BERB2Q,KNOC2J,46.98,0.0,OHL,0.266,1.934,12.809,935,880,790,880
BHLA11,GLEN1Q,0.0,7.8,Cable,0.1425,0.6104,28.363,230,217,217,217
BIHI1Q,CHAR1R,3.9,0.0,OHL,0.17,0.851,0.206,229,211,183,211
BIHI1Q,COUA1Q,14.6,0.0,OHL,0.7446,3.2704,0.753,241,230,210,230
BIHI1Q,TEAL1-,5.6,0.0,OHL,0.239,1.199,0.29,229,211,183,211
BIHI1R,CHAR1-,3.9,0.0,OHL,0.17,0.851,0.206,229,211,183,211
BIHI1R,COUA1R,14.6,0.0,OHL,0.7446,3.2704,0.753,241,230,210,230
BIHI1R,TEAL1-,5.6,0.0,OHL,0.239,1.199,0.29,229,211,183,211
BLHI1J,BLHI1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
BLHI1J,DORE11,23.45,0.0,OHL,1.171,5.295,1.286,241,230,210,230
BLHI1J,KEIT1K,0.0,3.26,Cable,0.0429,0.2582,4.733,176,176,176,176
BLHI1K,DORE12,23.45,0.0,OHL,1.171,5.297,1.318,241,230,210,230
BLHI1K,KEIT1J,0.0,3.26,Cable,0.0429,0.2582,4.733,176,176,176,176
BLHI2J,BLHI2K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
BLHI2J,KEIT2Q,0.0,2.41,Cable,0.01,0.044,13.793,580,546,546,546
BLHI2J,KINT2K,50.85,0.0,OHL,0.298,2.08,14.14,935,880,790,880
BLHI2K,CAIN2-,9.77,0.0,OHL,0.0573,0.3997,2.717,935,880,790,880
BLHI2K,DAAS2-,33.02,0.0,OHL,0.187,1.3593,9.003,935,880,790,880
BLHI2K,KEIT2R,0.0,2.49,Cable,0.01,0.0456,14.286,580,546,546,546
BLHI2L,ROTI2J,35.36,0.0,OHL,0.1768,1.5558,9.335,1090,1030,925,1030
BLHI2M,ROTI2K,35.36,0.0,OHL,0.1768,1.5558,9.335,1090,1030,925,1030
BLHI4-,BLHI4R,0.0,1.0,Cable,0.01,0.01,0.0,1272,1272,1272,1272
BOAG1L,BOAG1Q,0.0,5.7,Cable,0.0362,0.8819,7.98,227,209,209,209
BOAG1L,TOMT1L,19.19,0.0,OHL,2.1877,4.3562,0.96,215,211,203,211
BOAG1M,BOAG1R,0.0,5.7,Cable,0.0362,0.8819,7.98,227,209,209,209
BOAG1M,TOMT1M,19.19,0.0,OHL,2.1877,4.3562,0.96,215,211,203,211
BOAG1P,BOAG1Q,0.0,8.4,Cable,0.0558,1.271,11.48,227,209,209,209
BOAG1P,GLFA1-,24.82,0.0,OHL,2.5189,5.7753,1.228,126,117,101,117
BONB2J,BRCW2K,10.1,0.0,OHL,0.028,0.409,2.886,1910,1830,1710,1830
BONB4-,TUMM4-,72.9,0.0,OHL,0.094,1.396,44.078,2780,2670,2480,2670
BRCW2J,BRCW2K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
BRCW2J,TUMM2K,62.8,0.0,OHL,0.172,2.544,17.947,1910,1830,1710,1830
BREC1Q,BREC1R,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
BREC1Q,BRID1Q,5.1,0.0,OHL,0.61,1.21,0.25,112,104,90,104
BREC1Q,FIDD1B,30.4,0.0,OHL,3.13,6.52,2.66,112,104,90,104
BREC1R,BRID1R,5.1,0.0,OHL,0.61,1.21,0.25,112,104,90,104
BREC1R,DENS1Q,26.1,0.0,OHL,3.08,6.33,1.29,112,104,90,104
BROA1Q,EDIN1-,44.9,0.0,OHL,6.014,9.963,2.332,99,92,79,92
BROA1Q,QUOI1Q,63.4,0.0,OHL,8.99,14.87,3.11,99,92,79,92
BROR1-,BROR1Q,1.1,0.0,OHL,0.12,0.27,0.06,126,117,101,117
BROR1Q,DUBE1Q,38.800000000000004,0.0,OHL,3.94,9.01,1.91,126,117,101,117
BROR1Q,LOCB1K,22.12,0.0,OHL,2.2511,5.1536,1.096,126,117,101,117
BUMU1Q,BUMU1R,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
BUMU1Q,CHAR1-,42.2,0.0,OHL,4.29,9.76,2.1,132,123,106,123
CAAD1Q,CRSS1J,13.08,0.0,OHL,0.3091,2.7749,0.721,448,430,398,430
CAAD1R,CRSS1K,13.08,0.0,OHL,0.3091,2.7749,0.721,448,430,398,430
CAIN2-,KINT2J,41.08,0.0,OHL,0.2407,1.6803,11.423,935,880,790,880
CASS1Q,DLCH1A,28.0,0.0,OHL,2.84,6.75,1.33,111,103,89,103
CHAR1-,CHAR1R,0.0,1.0,Cable,0.01,0.01,0.0,229,211,183,211
CHAR1-,CHAR1S,0.0,1.0,Cable,0.01,0.01,0.0,126,117,101,117
CHAR1-,CHAR1T,0.0,1.0,Cable,0.01,0.01,0.0,126,117,101,117
CHAR1S,GLAG1Q,1.4,0.91,Composite,0.1697,0.3805,1.708,126,117,101,117
CHAR1S,LYND1Q,1.9,0.0,OHL,0.2,0.45,0.1,126,117,101,117
CHAR1T,GLAG1R,1.4,0.91,Composite,0.1697,0.3805,1.708,126,117,101,117
CHAR1T,LYND1R,1.9,0.0,OHL,0.2,0.45,0.1,126,117,101,117
CLAC1Q,INVE1J,8.4,0.0,OHL,0.85,1.95,0.41,126,117,101,117
CLAC1Q,SLOY1F,13.0,0.0,OHL,1.3183,3.0212,0.641,132,123,106,123
CLAY1Q,REDM1Q,0.0,4.8,Cable,0.19,0.28,9.82,120,100,100,100
CLAY1Q,WIOW1Q,0.0,2.1,Cable,0.0474,0.1253,2.897,155,129,129,129
CLAY1R,REDM1R,0.0,4.8,Cable,0.19,0.28,9.82,120,100,100,100
CLAY1R,WIOW1R,0.0,2.1,Cable,0.0474,0.1253,2.897,155,129,129,129
CLUN1Q,CLUN1S,0.0,1.0,Cable,0.01,0.01,0.0,126,117,101,117
CLUN1R,CLUN1T,0.0,1.0,Cable,0.01,0.01,0.0,126,117,101,117
CLUN1S,COUA1Q,38.1,0.0,OHL,1.9301,8.5468,1.966,241,230,210,230
CLUN1S,ERRO1K,15.4,0.0,OHL,1.406,3.58,0.764,126,117,101,117
CLUN1T,COUA1R,38.1,0.0,OHL,1.9301,8.5468,1.966,241,230,210,230
CLUN1T,ERRO1J,15.4,0.0,OHL,1.406,3.58,0.764,126,117,101,117
COGA1-,COGA1C,13.9,0.0,OHL,0.7002,2.8782,0.778,241,230,210,230
COGA1C,FARI1J,0.0,4.11,Cable,0.065,0.334,6.245,220,209,209,209
CONN1C,CONN1J,0.0,0.76,Cable,0.0161,0.0631,1.035,200,178,178,178
CONN1C,STRW1C,12.0,0.0,OHL,0.605,2.485,0.672,241,230,210,230
CONN2J,DOUN2-,10.34,0.0,OHL,0.0621,0.5689,2.193,702,665,599,665
CONN2J,LOCB2J,76.071,0.269,Composite,0.458,4.1987,16.184,702,665,599,665
CORI1J,CORI1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
CORI1J,CORI1P,0.0,0.71,Cable,0.0216,0.0662,0.84,126,116,116,116
CORI1J,LUIC1Q,10.43,0.0,OHL,0.2443,2.2748,0.551,464,446,414,446
CORI1K,CORI1Q,0.0,0.63,Cable,0.0191,0.0586,0.742,126,116,116,116
CORI1K,LUIC1R,10.35,0.0,OHL,0.2425,2.2577,0.547,464,446,414,446
CORI1P,MOSS1S,1.45,0.0,OHL,0.074,0.3248,0.075,224,211,189,211
CORI1Q,MOSS1T,1.45,0.0,OHL,0.074,0.3248,0.075,224,211,189,211
CRAI1-,CRAI1P,0.0,1.1,Cable,0.0309,0.0973,1.456,149,137,137,137
CRAI1-,CRAI1Q,0.0,1.0,Cable,0.01,0.01,0.0,145,131,116,131
CRAI1-,CRAI1R,0.0,1.1,Cable,0.0309,0.0973,1.456,149,137,137,137
CRAI1-,FOGG1Q,4.7,0.0,OHL,0.485,1.057,0.221,132,123,106,123
CRAI1-,FOGG1R,4.7,0.0,OHL,0.485,1.057,0.221,132,123,106,123
CRAI1-,REDM1R,6.8,0.0,OHL,0.48,1.53,0.34,157,146,126,146
CRAI1-,WOHI1Q,0.0,3.5,Cable,0.15,0.22,7.5,130,120,120,120
CRAI1-,WOHI1R,0.0,3.5,Cable,0.15,0.22,7.5,130,120,120,120
CRAI1P,KINT1P,17.5,0.0,OHL,0.8925,3.92,0.903,241,230,210,230
CRAI1Q,REDM1Q,6.8,0.0,OHL,0.48,1.53,0.34,157,146,126,146
CRAI1R,KINT1R,17.5,0.0,OHL,0.8925,3.92,0.903,241,230,210,230
CREA1-,CREA1B,4.0,0.0,OHL,0.2,0.828,0.224,203,193,176,193
CREA1A,CREA1B,0.0,1.4,Cable,0.0149,0.0892,2.161,306,253,253,253
CREA1A,DLCH1B,16.6,0.0,OHL,0.83,3.4362,0.93,203,193,176,193
CRSS1J,CRSS1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
CRSS1Q,PORA1R,48.3,0.0,OHL,6.8386,11.356,2.352,99,99,99,99
CRSS1R,PORA1S,48.3,0.0,OHL,6.8386,11.356,2.352,99,99,99,99
CRSS2A,CRSS2C,0.0,1.61,Cable,0.0178,0.0531,4.45,240,240,240,240
CRSS2B,CRSS2D,0.0,1.66,Cable,0.0178,0.056,4.57,240,240,240,240
CRSS2C,HUNN2C,0.0,38.1,Cable,0.6045,1.1463,76.848,240,240,240,240
CRSS2D,HUNN2D,0.0,38.5,Cable,0.6157,1.1674,78.263,240,240,240,240
CULL1Q,DEAN1Q,9.0,0.0,OHL,0.93,2.12,0.45,126,117,101,117
DAAS2-,KNOC2K,60.22,0.0,OHL,0.341,2.479,16.419,935,880,790,880
DENS1Q,TEAL1-,8.7,0.0,OHL,0.3393,1.9053,0.461,183,160,149,160
DENS1R,TEAL1-,8.7,0.0,OHL,0.3393,1.9053,0.461,183,160,149,160
DLCH1A,DLCH1B,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
DLCH1A,LOCB1L,17.0,0.0,OHL,0.3992,3.7085,0.898,464,446,414,446
DLCH1B,LOCB1M,17.0,0.0,OHL,0.3992,3.7085,0.898,464,446,414,446
DOUN2-,GORW2-,58.1,0.0,OHL,0.3486,3.196,12.32,702,665,599,665
DOUN2-,THUS2J,15.4,0.0,OHL,0.077,0.847,3.28,965,925,865,925
DOUN2-,THUS2K,15.4,0.0,OHL,0.077,0.847,3.28,965,925,865,925
DUBE1Q,MYBS1R,20.8,0.0,OHL,2.12,4.86,1.03,126,117,101,117
DUCC1J,ORRI1S,10.76,0.0,OHL,0.2526,2.3466,0.568,464,446,414,446
DUCC1K,ORRI1T,10.76,0.0,OHL,0.2526,2.3466,0.568,464,446,414,446
